Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input
58,0.25017-0.75821i,-0.72335+0.65826i,0.14429+0.36221i,-0.71866-0.72971i,0.65304-0.35706i,0.87053-0.28433i,0.85877-0.79342i,-0.65924-0.35252i,-0.87187-0.28371i,0.66713-0.79285i,-0.1409-0.86376i,-0.29445+0.15184i,-0.28846+0.28704i,-0.79272-0.22115i,-0.85977+0.21491i,-0.86026+0.28968i,-0.8596+0.78984i,-0.35283-0.15148i,0.72995+0.71966i,0.35712-0.65007i,-0.22369+0.14214i,-0.28643+0.29097i,-0.28104+0.28456i,-0.78639-0.21981i,0.15331-0.29191i,-0.7173-0.78934i,-0.3613-0.35515i,-0.78809-0.78639i,-0.35534-0.35486i,-0.28325+0.72972i,0.22096-0.65639i,0.28986+0.64948i,0.79535-0.14158i,0.35758+0.21099i,0.28382-0.21286i,0.28571+0.71937i,-0.22099+0.35611i,0.72312-0.22587i,0.36166-0.79416i,-0.22485+0.65612i,0.21853-0.14246i,-0.21983+0.72279i,-0.28783-0.65302i,0.22656+0.64681i,0.28757+0.36462i,-0.21583-0.7287i,-0.79994-0.86296i,0.14975-0.34919i,0.29173-0.78976i,0.28537-0.3586i,-0.21806+0.72762i,0.72382+0.35644i,-0.65429+0.78951i,-0.87086-0.65695i,0.15916-0.86988i,-0.21306+0.15582i,0.21403+0.79908i,-0.21364-0.6567i,-0.79198+0.6502i,0.65839+0.36506i,-0.14338+0.78866i,0.7166-0.1521i,0.86374+0.71941i,-0.15187+0.86313i,0.21247-0.15087i,0.29023+0.72112i,0.28064-0.14564i,-0.72638-0.29076i,0.14575-0.2845i,-0.20957+0.22174i,0.72126-0.72113i,0.35986+0.65121i,-0.22215-0.14001i,0.72585+0.21287i,0.86711-0.21532i,0.3508-0.28919i,0.28306-0.28278i,0.794+0.22018i,-0.65297+0.79928i,-0.36122-0.14961i,0.22058+0.21505i,-0.21683-0.2181i,0.72187+0.21596i,0.86258-0.21223i,0.35261+0.21742i,0.28329+0.29183i,0.28963-0.72838i,-0.21543-0.86022i,0.72327+0.66353i,0.35301-0.14454i,0.28042-0.80158i,0.28328-0.86136i,-0.22181+0.6628i,-0.7945+0.35943i,-0.34846-0.73154i,-0.28267-0.86335i,0.21706+0.15185i,0.79545-0.21575i,0.86085+0.21283i,0.85609-0.72039i
59,0.75791-0.76108i,0.86417-0.86277i,0.86023+0.65611i,0.85913+0.35816i,-0.15348+0.2843i,-0.29132+0.79526i,-0.28638+0.35558i,-0.78986-0.72972i,-0.35491+0.64969i,0.72804-0.64705i,-0.65308-0.86935i,0.64793-0.35377i,0.86468-0.27881i,0.35434+0.72467i,0.28263+0.86269i,-0.22278-0.66128i,0.72164-0.36588i,-0.14776+0.73128i,0.2123-0.65345i,-0.21613+0.14188i,0.72557-0.71774i,-0.14823-0.86753i,0.714-0.35407i,-0.14385+0.72918i,-0.79746-0.14523i,0.1486+0.21278i,0.80165-0.21777i,0.86275-0.29192i,-0.65984-0.28829i,-0.86663-0.28746i,-0.35205-0.28687i,0.72919+0.7302i,-0.65454-0.14622i,-0.86934+0.21478i,0.66337-0.21445i,-0.64954-0.29219i,0.14215-0.79293i,-0.72104+0.15264i,-0.87002+0.29538i,-0.34986+0.79312i,0.73352-0.65632i,-0.14802-0.86575i,0.7201-0.85864i,0.35848+0.1552i,-0.22327+0.29099i,0.21965+0.79598i,-0.21703+0.86403i,0.22177+0.85814i,0.29278+0.3509i,0.28254-0.22304i,0.79197-0.28896i,0.35521-0.28478i,-0.72919-0.28649i,0.14743+0.72509i,-0.71755-0.14721i,0.14449-0.79879i,0.29286+0.15183i,-0.72538+0.29486i,0.14532-0.72827i,0.29659-0.86537i,0.79038-0.86253i,0.35758+0.65948i,0.28586+0.87162i,-0.72866+0.34998i,0.14925-0.72977i,0.79727-0.86601i,-0.14782-0.35091i,0.21418+0.72765i,0.28986-0.64945i,0.79425+0.13984i,0.35772-0.72084i,-0.2232-0.35906i,-0.28949+0.22781i,-0.79169-0.22048i,0.65643+0.21913i,0.87246-0.21689i,-0.65621-0.29124i,-0.8704+0.72489i,0.15557-0.14556i,-0.72241+0.71613i,-0.86495-0.14742i,-0.35179-0.29483i,-0.79126+0.21809i,0.15087+0.79447i,-0.72228+0.85865i,-0.86719+0.35172i,0.65931-0.72984i,0.3654+0.6584i,-0.72689-0.65081i,-0.8659+0.65029i,0.65835+0.36443i,0.86702+0.79061i,-0.66245+0.35492i,0.14662+0.78806i,0.80076-0.15021i,0.35817+0.21163i,-0.22105-0.72388i,0.21598-0.36544i,-0.72393-0.78896i,0.14694-0.35568i
60,-0.56415+0.56677i,0.48748+0.64207i,0.6437-0.49225i,0.63992+0.48123i,0.64058-0.47892i,-0.49077+0.48708i,0.48131-0.48158i,0.65039-0.64655i,0.64133+0.49422i,-0.49132+0.64932i,-0.64956+0.63805i,0.49142+0.63756i,0.64565+0.63992i,0.63612-0.49336i,-0.48819-0.65028i,0.48496+0.49323i,-0.48435-0.48197i,-0.65297+0.47952i,0.48985+0.64825i,0.65112-0.48961i,0.64176+0.48209i,0.63457-0.48402i,-0.48948+0.48007i,-0.65042+0.64595i,-0.63815+0.63894i,-0.63837+0.64339i,-0.64064+0.63741i,0.49469-0.49122i,-0.4824-0.65148i,-0.64771+0.49257i,-0.63962-0.48828i,0.48902-0.64695i,-0.48845+0.48674i,0.48579+0.64959i,0.65056+0.64032i,-0.48882-0.49094i,0.48515+0.48212i,-0.48057-0.48424i,-0.64817-0.648i,0.49353+0.49145i,-0.48504+0.64263i,-0.64727-0.48884i,-0.64266+0.48489i,0.49261+0.64704i,0.64581-0.49198i,0.63744-0.64583i,-0.49187+0.48772i,0.48189-0.48457i,-0.48529+0.48234i,0.48522-0.48357i,-0.48247+0.48199i,0.4798+0.64551i,0.64761-0.49609i,0.63853-0.6493i,-0.48601-0.64071i,0.48439+0.49372i,0.65151-0.48304i,0.64015+0.48212i,0.63803+0.6482i,-0.49269-0.49017i,-0.64728+0.48378i,0.49242-0.48403i,-0.48634+0.48171i,0.48648-0.4833i,0.64767-0.6477i,-0.49102+0.49392i,-0.64688-0.48235i,0.49289-0.6434i,-0.48248+0.49172i,0.48318+0.65495i,-0.48304+0.63885i,-0.64207-0.49019i,0.49437-0.64785i,-0.48594-0.63727i,0.48231-0.63845i,-0.48228+0.49378i,-0.64872-0.48403i,0.49009-0.64655i,-0.48366+0.49526i,0.48494-0.48521i,0.64962+0.48397i,0.64109+0.65196i,-0.49176-0.49496i,-0.64772-0.64456i,0.49178+0.49285i,-0.48201-0.48433i,0.48183+0.48912i,-0.48183+0.64669i,-0.64854-0.49332i,-0.63786-0.64708i,-0.63674+0.49483i,-0.63927+0.64551i,0.48836-0.48731i,-0.48466+0.48607i,0.48843-0.4843i,-0.48658+0.48007i,-0.65394-0.48511i,0.49235+0.48282i,-0.48528+0.64892i,-0.6477-0.49163i
61,0.25467+0.76283i,0.28474+0.86311i,0.79244+0.35252i,0.356+0.78672i,0.28331+0.3556i,-0.21648-0.22672i,-0.29102+0.21693i,-0.28643-0.71852i,0.72532-0.86733i,0.36138-0.85761i,-0.73165+0.65654i,-0.86986+0.86739i,-0.8548-0.15385i,-0.85597+0.71718i,-0.35056+0.35974i,-0.78862+0.78732i,0.65952+0.86325i,-0.14205-0.66322i,-0.80327-0.36251i,0.15278+0.2224i,0.29744+0.7965i,0.28659+0.35641i,-0.2204+0.28132i,0.21448-0.22258i,-0.21752+0.71998i,0.72159+0.3588i,0.35876-0.22139i,-0.73246-0.28927i,0.6506-0.28702i,-0.14708+0.21883i,0.71721+0.79418i,-0.65216-0.15172i,-0.86675-0.79999i,0.66435+0.14859i,-0.64785-0.215i,-0.87256-0.79362i,0.15513+0.15119i,0.29454-0.21588i,-0.72706+0.21654i,-0.36198+0.7957i,-0.7885-0.15223i,-0.85783-0.79977i,0.66015-0.35334i,0.8647+0.72849i,0.85265+0.86645i,0.356-0.66363i,0.79166-0.87108i,-0.14865+0.15451i,-0.29222+0.29402i,-0.28564+0.79334i,0.72647-0.65546i,0.36025+0.14416i,0.28348-0.71926i,0.28867+0.14672i,-0.21711+0.79497i,-0.29266+0.3517i,-0.78979-0.72738i,0.15219+0.6534i,0.29687-0.14048i,0.79264-0.29185i,0.86179-0.79629i,0.85836+0.65765i,-0.15402+0.86628i,-0.29267-0.65601i,0.72635+0.64858i,-0.65592-0.1442i,-0.86446-0.29499i,0.66056+0.22501i,-0.65011+0.79565i,0.65034-0.15197i,0.36384-0.79946i,-0.22381-0.86407i,-0.28836-0.34946i,-0.78817-0.28229i,-0.34915-0.28527i,-0.79107-0.79294i,0.65489+0.14965i,0.36356-0.71824i,-0.22592+0.65368i,0.72309+0.87096i,0.86955-0.66213i,0.85718+0.13717i,-0.15274+0.29489i,-0.79881-0.72684i,0.65582+0.65119i,-0.64638-0.64698i,0.14113+0.14378i,-0.20947+0.29185i,-0.29133+0.2892i,0.72454-0.21743i,0.3575-0.79638i,-0.73217+0.65477i,-0.35447-0.14362i,-0.28347+0.21735i,-0.79794-0.21399i,0.14957+0.22007i,-0.71591+0.28973i,-0.35897+0.2869i,0.22846-0.72782i,-0.21767+0.1485i
62,-0.86529+0.61712i,0.49784-0.77752i,-0.5258-0.74491i,0.77448-0.19937i,0.74367-0.13449i,-0.044618+0.60467i,-0.3944+0.45559i,-0.17068+0.91054i,-0.13722+0.73121i,-0.63565+0.69541i,0.043803-0.28972i,-0.10368+0.80963i,-0.38905+0.24165i,0.81244+0.13205i,-0.0055104-0.84644i,0.10217+0.25047i,-0.35057+0.42803i,0.56322+0.66405i,0.46129-0.041839i,0.66284+0.10259i,-0.043127+0.88033i,0.84282-0.0065077i,-0.49557-0.88888i,-0.46216+0.0067095i,-0.42124-0.09875i,0.57229-0.38766i,0.70753-0.91963i,0.9424-0.73496i,-0.50385+0.53782i,-0.95218+0.21005i,0.50278-0.60597i,-0.52784-0.21175i,0.28017+0.60373i,0.42854-0.042357i,-0.56997+0.59545i,-0.70529+0.70049i,0.28746-0.038379i,-0.81252-0.88652i,0.74188+0.74374i,0.73916+0.0021105i,-0.54047+0.34362i,-0.70572-0.32288i,-0.45262-0.6722i,0.81973+0.28865i,0.98507-0.069036i,0.23541-0.8836i,0.37973-0.73223i,-0.3189+0.78775i,-0.67215+0.98356i,-0.20436+0.2356i,-0.87586-0.1123i,0.0066354+0.84938i,-0.34684-0.74553i,0.072154+0.24427i,0.63686+0.42459i,0.70247-0.5644i,-0.046185-0.2079i,-0.63754-0.87576i,-0.4553-0.9804i,0.078024+0.5051i,-0.59772+0.7046i,-0.94651-0.78064i,0.75205-0.24615i,0.24839-0.87695i,0.38138-0.7314i,-0.31731+0.29299i,-0.17707-0.068752i,-0.38399+0.10908i,0.81563+0.63261i,0.98877-0.038892i,-0.50644-0.8872i,0.032135-0.48846i,-0.099464+0.81685i,-0.14091+0.49306i,-0.13761-0.81651i,-0.38878-0.49013i,-0.41889+0.82172i,0.32166-0.24632i,0.17625-0.92092i,-0.11458+0.75082i,0.60244+0.49447i,0.45508-0.56916i,-0.57145+0.52709i,0.28409-0.52659i,0.42967+0.28006i,0.66616+0.17792i,0.45117-0.10837i,0.6663+0.10772i,-0.29066-0.60051i,0.56266-0.94938i,0.70717+0.0084905i,0.69709-0.84478i,0.20294-0.24248i,-0.35682+0.11004i,-0.91613-0.84634i,0.50246-0.49256i,0.70754-0.90727i,0.69618-0.23869i,0.70187-0.13194i,0.70089+0.84892i
63,-0.56677-0.56355i,0.4898-0.64355i,-0.48613+0.48955i,0.48725+0.64343i,0.64886-0.49449i,-0.49347-0.64882i,-0.6499-0.64071i,0.48963-0.63911i,-0.48128+0.4962i,0.48387+0.64904i,-0.48371+0.64302i,0.48217+0.63786i,0.64487-0.49719i,-0.49329-0.6437i,0.48507-0.64092i,0.65093-0.64053i,-0.49588+0.49412i,-0.64918+0.64833i,-0.63869+0.64035i,0.49177-0.49121i,0.64567+0.4847i,0.6406+0.64861i,0.63822-0.49127i,0.63774-0.64928i,0.64155+0.49177i,-0.4903-0.48282i,-0.64755-0.64628i,-0.64333-0.63669i,0.49219-0.63926i,-0.48811-0.63721i,-0.64619+0.49272i,-0.6413-0.48242i,-0.63929+0.4845i,0.49583+0.64529i,0.65382+0.63877i,0.63909+0.63819i,0.64104-0.49069i,0.64401-0.64812i,-0.49096-0.64308i,-0.64504+0.49527i,-0.63982+0.64951i,0.49207-0.49271i,0.64532+0.48373i,-0.49197-0.48306i,0.48533+0.48235i,-0.48311-0.48111i,0.48109+0.48389i,-0.48267+0.64943i,0.48355+0.64092i,-0.48204-0.4904i,0.48188+0.4821i,-0.48491+0.64902i,0.48182-0.4933i,0.64738+0.48452i,0.63992-0.48283i,0.6414+0.4807i,-0.48429-0.48371i,0.48437-0.64766i,0.64689+0.49283i,0.63582+0.64436i,0.63996+0.63899i,-0.49253+0.64185i,-0.64822-0.49391i,0.49167-0.64762i,0.64875-0.63563i,0.63973-0.63728i,-0.49195-0.63693i,0.48605-0.63866i,0.64508+0.48854i,0.63546+0.64672i,0.63898-0.49309i,-0.49254-0.64591i,-0.6473-0.63963i,-0.63852+0.49353i,-0.64344-0.48756i,-0.64197+0.48424i,0.49007+0.64623i,-0.48066+0.64087i,-0.64692-0.48826i,-0.63887+0.4865i,0.49119+0.64775i,0.64796-0.48973i,-0.48888-0.64861i,-0.64728-0.64063i,0.49572+0.49299i,-0.48233-0.48699i,-0.64545+0.47932i,0.48739-0.48395i,-0.48604-0.6472i,-0.64643+0.49206i,-0.6405+0.64781i,-0.64233+0.63764i,-0.63925+0.6402i,-0.64407-0.49458i,-0.64244+0.48386i,-0.63789-0.48245i,0.49112-0.64328i,-0.4848+0.49135i,0.48601+0.64667i,-0.48443-0.496i
64,-0.56801+0.56786i,-0.64321-0.48563i,0.49411+0.48694i,0.6469-0.48488i,-0.49573+0.48266i,-0.64443+0.65023i,-0.6371+0.64127i,-0.64126-0.48929i,0.48751-0.64437i,-0.4832+0.49099i,0.48481+0.65177i,-0.48653+0.6357i,0.48016+0.63628i,0.6442+0.64129i,0.6421+0.63909i,-0.49115+0.64222i,0.48358+0.63883i,-0.48642-0.49307i,0.48928+0.48115i,-0.48264-0.48172i,-0.64903+0.48458i,-0.63851-0.48173i,0.49365+0.48595i,0.64581-0.4844i,0.63969+0.48054i,-0.48879+0.64843i,0.48041-0.49397i,-0.48262+0.48431i,-0.64897-0.48132i,-0.63925+0.48508i,0.49523+0.6463i,0.64275-0.4907i,0.63797+0.4796i,-0.48989-0.48729i,-0.64447-0.64936i,-0.63816-0.63883i,0.49156-0.63452i,0.64664-0.64203i,-0.48483+0.49204i,0.48449+0.64859i,0.64685-0.49343i,0.63886-0.64842i,-0.49126+0.49329i,0.48031-0.48477i,-0.48244+0.48561i,0.48021-0.48525i,-0.48381-0.64709i,0.48658+0.49269i,-0.48119-0.47775i,0.48089-0.64643i,0.6436+0.49383i,-0.48921-0.47999i,-0.64758+0.48809i,0.49577-0.48563i,0.65094-0.64772i,0.63759-0.64066i,-0.48784+0.49121i,-0.65337+0.65097i,-0.64159-0.49314i,-0.64169+0.48164i,0.49278-0.48695i,0.65031+0.48111i,0.64281+0.64811i,-0.49328+0.63906i,0.48042+0.63927i,-0.48294+0.63933i,0.48179-0.49124i,0.65069-0.64624i,0.6424+0.4901i,-0.49029+0.64848i,0.48575-0.49297i,0.64515+0.48385i,0.63881-0.48292i,0.63552-0.64864i,-0.4913+0.49494i,0.48254-0.4878i,0.64763+0.48659i,-0.49472+0.65265i,-0.64736-0.49616i,-0.63919+0.48366i,-0.63814-0.48653i,-0.63765-0.64768i,-0.64435+0.49337i,0.49608+0.64246i,0.64702-0.49436i,0.63851+0.48306i,0.6358-0.48464i,-0.49448-0.64514i,0.48469-0.64325i,0.64518+0.49056i,-0.49491-0.48196i,0.48703+0.48586i,0.64253-0.48639i,0.63541+0.48672i,-0.4929-0.47966i,-0.64756+0.48377i,0.49499-0.4767i,-0.48656+0.48708i,-0.64501-0.48254i,-0.63882-0.6473i
65,-0.25063+0.2542i,0.72306+0.29075i,0.8662-0.72273i,-0.66134-0.8673i,0.14473+0.15246i,0.79882+0.79539i,-0.65758+0.85827i,0.13864-0.14991i,-0.71723+0.71836i,-0.86601-0.14338i,-0.85583-0.79975i,-0.86007-0.8639i,0.15391-0.8597i,0.29185-0.85864i,-0.21806-0.35545i,-0.79597+0.22282i,-0.86377-0.71996i,0.66322-0.35422i,0.35917-0.28027i,0.27983-0.79583i,0.79632+0.1503i,0.86376-0.71653i,-0.15339-0.35806i,-0.29095+0.72945i,-0.2824+0.35974i,0.72194-0.22358i,0.86457+0.72066i,-0.66191+0.35913i,0.14253+0.7884i,-0.71915-0.66025i,0.14541-0.86884i,0.79939+0.15298i,0.35791-0.21453i,0.28019-0.29054i,0.79034-0.28821i,0.35864+0.21901i,-0.72792-0.7222i,-0.86715-0.35951i,-0.86027+0.22118i,-0.86166+0.79629i,0.65616-0.15039i,-0.1432+0.71747i,0.21015-0.14495i,-0.21648-0.79929i,-0.28532-0.86324i,-0.79018+0.66073i,-0.35713+0.3601i,0.72922+0.28274i,0.35911+0.28763i,0.28412-0.21996i,0.28662+0.71968i,-0.72522+0.3559i,-0.35925+0.79015i,0.72673+0.35598i,-0.14594+0.79019i,-0.28991-0.65698i,-0.79261-0.3654i,0.14946-0.28248i,-0.71724-0.78842i,0.14865+0.65658i,-0.71841-0.14149i,-0.86665-0.79695i,-0.3551+0.65877i,-0.28573-0.64973i,-0.79269+0.14137i,-0.35385-0.21532i,0.73507+0.72174i,-0.6488-0.1466i,-0.86364-0.80076i,-0.35341-0.86089i,0.72861-0.85787i,-0.14996+0.65916i,-0.79391+0.3616i,-0.35823-0.22498i,-0.79025-0.28662i,-0.35619-0.79527i,0.72893-0.86441i,0.36295+0.65868i,-0.22354-0.14463i,0.72583-0.79625i,-0.14596-0.35779i,-0.8032+0.22334i,-0.86162+0.29217i,0.66079+0.79124i,0.36421-0.65589i,0.79186+0.6503i,-0.65718+0.36013i,0.1439+0.78579i,-0.21403+0.86275i,-0.79422+0.85663i,-0.86719-0.65593i,-0.35131+0.14362i,0.22036-0.71848i,-0.21448+0.65047i,0.72061-0.14325i,-0.65302-0.80221i,-0.35987-0.35459i,-0.79014+0.22096i,-0.85565-0.21397i,0.65721+0.21644i
66,0.25252+0.25693i,0.79203-0.7231i,0.3547-0.35874i,-0.2204-0.27806i,-0.79584-0.2855i,-0.35702-0.79595i,-0.27901-0.8628i,0.72671-0.86336i,0.86571-0.8627i,-0.65932+0.65657i,0.65407-0.14401i,-0.14447+0.2125i,0.21261+0.29035i,-0.72353+0.79246i,-0.36048-0.15166i,-0.28135+0.71844i,-0.79119+0.35923i,0.65758-0.72786i,-0.64772+0.65321i,-0.36426-0.14667i,0.22393-0.80023i,-0.72417+0.65807i,-0.36358+0.36482i,-0.78539+0.78827i,-0.86526-0.14613i,-0.85932+0.71802i,0.14969-0.14518i,-0.2098-0.29656i,0.21861+0.72325i,0.79536+0.35928i,0.35634+0.28136i,-0.22642+0.79137i,-0.79351-0.65768i,-0.35783-0.873i,-0.27933+0.66006i,0.2188-0.64828i,0.28495+0.64461i,0.28708-0.64698i,0.79035+0.64979i,-0.65221-0.64888i,-0.87026-0.36302i,-0.85868-0.28174i,0.66159-0.28713i,-0.14365+0.72699i,0.21609+0.8677i,-0.21918-0.6622i,0.72383+0.64504i,0.35778+0.87036i,0.7877-0.66526i,0.86271+0.64606i,0.34968+0.35918i,0.28345+0.28451i,0.28608-0.72492i,0.28648+0.6553i,0.285-0.14497i,-0.22012-0.79877i,0.2178-0.35176i,0.79522+0.22365i,0.35888-0.21488i,0.79128-0.28849i,-0.65522-0.79268i,-0.36307+0.65649i,0.72886+0.8727i,-0.14722-0.66276i,0.71976-0.86713i,0.35692-0.85747i,-0.72963-0.8591i,-0.35102-0.35187i,0.72531-0.78661i,-0.14603+0.65964i,0.71856+0.86807i,0.35972+0.85799i,-0.73122+0.85907i,-0.35617-0.1539i,-0.27766+0.21372i,0.72516-0.21408i,0.36311+0.72216i,-0.22826+0.8681i,0.72293+0.85603i,0.86426+0.35315i,0.85559-0.72592i,0.85841+0.14611i,-0.66395-0.21154i,0.14316-0.79507i,0.28919-0.86117i,0.28685-0.85997i,0.28763+0.65811i,0.79203+0.87341i,0.85978-0.66023i,-0.15663-0.86891i,-0.2923+0.66492i,0.22199+0.35961i,0.28946+0.78644i,0.28477-0.65503i,-0.72492+0.65158i,0.656-0.14155i,0.86498-0.29339i,0.35265+0.72712i,-0.22233+0.86401i,-0.79477+0.85745i
67,0.56542+0.5674i,-0.48829+0.63814i,0.48383+0.64122i,-0.48111-0.4892i,0.48347-0.64593i,-0.48421-0.63916i,-0.64346-0.64206i,0.48946-0.63769i,0.64962+0.48984i,0.6385+0.64716i,0.63901+0.6361i,-0.49281+0.63917i,-0.64865+0.64077i,-0.64129-0.49406i,0.49275+0.48058i,0.65068+0.64512i,-0.49331-0.49349i,0.48297-0.64862i,-0.48371+0.49366i,0.48338-0.4836i,-0.48018+0.48247i,-0.64175-0.48724i,-0.63431+0.4866i,-0.63921-0.48388i,0.4912-0.6452i,-0.48186+0.49188i,-0.64726-0.48356i,0.49084-0.65154i,0.64752+0.49968i,0.63705-0.48423i,0.64072+0.48371i,0.6339-0.48311i,0.63941+0.48665i,0.6419-0.48336i,-0.48883-0.64542i,0.4842+0.49261i,-0.48485-0.48344i,0.48133-0.65062i,0.65466+0.49123i,0.63737-0.48409i,-0.49082+0.48424i,-0.64534-0.48692i,-0.64276+0.48416i,-0.64146+0.64901i,-0.64197+0.64053i,-0.64137-0.49058i,0.49207+0.48488i,0.64691+0.64563i,0.63861-0.492i,-0.4895+0.48496i,-0.64643+0.65146i,0.49079-0.49231i,-0.48242+0.48229i,-0.64595+0.64243i,0.48898-0.49106i,0.64646+0.48364i,-0.49098-0.48249i,0.48454+0.48581i,0.64946+0.65174i,-0.49024-0.49453i,0.48291+0.48695i,0.64425+0.64773i,0.63945-0.49008i,0.63841+0.48134i,0.64097+0.64583i,-0.4963+0.64176i,-0.64902+0.64274i,0.49124+0.63997i,0.64767-0.49273i,0.63693-0.64967i,0.64182+0.49172i,-0.4898-0.48407i,-0.64793-0.64308i,-0.64245+0.49542i,-0.63826-0.48531i,-0.64107-0.64773i,-0.63843+0.49256i,-0.64108+0.64369i,-0.64503+0.63834i,-0.63692-0.49045i,-0.64296-0.64538i,-0.6381+0.48914i,0.487+0.65265i,0.64592-0.49172i,0.6391+0.48157i,-0.49215-0.48831i,0.48652+0.48514i,0.64455-0.48047i,0.63831+0.48631i,0.64128-0.48585i,-0.48806+0.48412i,0.48372-0.48311i,-0.48819-0.64847i,0.48211+0.49313i,-0.4822+0.65079i,0.48489-0.48999i,0.64569+0.48521i,0.64405+0.64762i,0.63856-0.49216i,0.63899+0.48245i
68,0.25482-0.76039i,0.78947-0.86743i,-0.65572+0.66001i,-0.36197-0.14089i,-0.79238+0.21326i,-0.36148-0.21514i,0.22435-0.2931i,0.79436-0.28755i,0.86312+0.2204i,0.85593-0.21562i,0.86029+0.72036i,-0.15614-0.6554i,0.21261+0.14166i,0.29132+0.28856i,-0.72419+0.28595i,0.14822-0.72617i,0.29472+0.14754i,-0.7246+0.80099i,0.65392-0.65845i,-0.6475-0.86991i,0.13918+0.15593i,0.29561+0.79532i,-0.7318+0.35706i,-0.86238-0.72747i,-0.85983+0.14699i,-0.3555+0.80203i,0.72812+0.35523i,0.86405-0.22067i,0.35407+0.21929i,0.78541-0.72252i,-0.65384+0.14632i,0.64671+0.80179i,0.36416+0.86305i,0.79017-0.66i,0.35915+0.65058i,-0.72946+0.36902i,0.65399-0.73257i,0.87175+0.14556i,0.85648-0.71577i,-0.14945+0.14668i,0.21513+0.29516i,-0.72065+0.28504i,-0.86248-0.21842i,-0.85489-0.79672i,-0.35047-0.86105i,-0.28213+0.15333i,0.72365+0.79625i,-0.65561+0.35819i,0.14033-0.72916i,-0.71989+0.65381i,-0.86719+0.86273i,-0.85717-0.65988i,-0.35867+0.64884i,-0.7911+0.87228i,0.65328+0.35321i,-0.1445-0.22193i,0.21317+0.72378i,0.79634+0.35708i,0.8606+0.78653i,-0.65812-0.6546i,0.65149+0.65029i,-0.64982+0.36114i,0.64741+0.28618i,-0.64854+0.79069i,0.13998+0.35582i,-0.71796+0.28625i,-0.36299+0.2864i,-0.2845+0.79068i,0.22236+0.86256i,-0.72591-0.65791i,0.65671-0.36179i,-0.64942-0.78847i,0.65073+0.65566i,-0.65104+0.86754i,-0.36661+0.86262i,0.22199+0.34981i,-0.72429-0.72659i,-0.35717-0.36233i,0.22148-0.28168i,0.28531+0.72756i,-0.7278-0.65331i,0.14663+0.64828i,-0.21017-0.65333i,0.21526-0.87107i,0.79301-0.85674i,-0.65796+0.66184i,0.14339-0.14292i,0.29218-0.79743i,0.79045-0.35282i,0.35103+0.22005i,0.28514-0.21645i,0.79002-0.29035i,-0.15395-0.28149i,0.20794+0.22003i,-0.21376-0.21491i,-0.79411-0.79284i,-0.85811+0.15051i,-0.35206+0.79723i,0.22197+0.35532i,0.79537+0.7886i
