Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Label
802,-0.25542+0.75993i,0.72424+0.86706i,-0.14366+0.35085i,0.21358-0.22583i,-0.72118+0.21446i,-0.86359+0.29193i,0.15333+0.7921i,-0.21066+0.85957i,0.21679+0.35062i,-0.21312+0.78646i,-0.29246+0.85798i,0.22551-0.65782i,0.28933-0.36318i,0.79383-0.78806i,-0.65783+0.65247i,0.64936+0.36217i,0.8712-0.2206i,0.85436-0.79388i,-0.15396-0.35574i,-0.80128-0.28022i,-0.86211-0.78906i,0.15403+0.66083i,-0.21087-0.64928i,0.72172+0.6502i,0.86546-0.65107i,0.35347-0.86879i,-0.22407+0.15032i,-0.28961+0.79733i,-0.28472-0.14631i,0.72683-0.80014i,-0.65304+0.15244i,-0.36054+0.80163i,0.73174-0.65704i,0.8624+0.1462i,0.85689-0.21437i,-0.15559-0.28952i,-0.80302+0.72678i,0.15025-0.15183i,-0.21096-0.80141i,0.21673-0.35712i,-0.71954+0.72849i,0.65466+0.35747i,-0.14271-0.22401i,0.21323-0.28912i,0.79922+0.21908i,0.86145+0.28646i,0.35294+0.28623i,-0.72993+0.78984i,0.65087+0.86338i,-0.65317-0.65822i,-0.36539-0.36121i,-0.28249-0.78743i,-0.28573-0.35734i,0.72797+0.22643i,-0.65459-0.21767i,0.14572+0.7246i,0.29533-0.65397i,-0.22178-0.8661i,0.72385+0.15397i,0.86459+0.29235i,0.34941+0.28428i,-0.22274-0.2181i,-0.79522-0.79472i,0.14994+0.15365i,-0.72262+0.29076i,0.65329-0.21829i,0.86921-0.79077i,-0.15318-0.86239i,0.71602+0.6572i,0.86585+0.8689i,-0.1554-0.65915i,-0.28876+0.65086i,-0.28289-0.1424i,-0.28946+0.71778i,-0.28435-0.1498i,0.21818+0.21273i,0.79507-0.71866i,-0.15004-0.35686i,0.71595-0.78458i,-0.65643+0.65451i,-0.87033-0.64916i,-0.34921-0.36313i,0.22306-0.27734i,0.79736+0.72887i,-0.15223+0.86527i,0.72303-0.15598i,-0.65027-0.79741i,-0.36611+0.65565i,-0.28531-0.64458i,-0.28511+0.14426i,0.72539-0.21474i,-0.14288+0.21353i,0.71865-0.21671i,-0.6486-0.79661i,-0.36269-0.86195i,0.73182+0.66012i,0.35713-0.1426i,-0.73038-0.29735i,0.65241+0.21923i,0.87222-0.72435i,2
803,-0.61869-0.86149i,-0.45479-0.73326i,-0.91125+0.5365i,0.0088667+0.70774i,0.88525-0.2946i,0.73575-0.42583i,0.69648+0.076649i,-0.78528+0.88358i,-0.48988+0.98137i,0.32303-0.014909i,-0.56558-0.88757i,0.03289-0.98214i,0.88759-0.73141i,0.24217+0.29078i,-0.35753+0.91855i,-0.91381+0.23396i,0.75-0.36142i,0.74008-0.17233i,-0.2936+0.60273i,0.31699-0.28758i,0.91549+0.80781i,0.4889-0.49353i,0.16976+0.52375i,-0.11036+0.95667i,0.84727+0.9793i,0.73382+0.98114i,0.94535+0.48432i,0.23587+0.66217i,-0.35807-0.042908i,-0.17768-0.14405i,0.60107-0.88077i,0.70353+0.25284i,0.94678-0.80615i,-0.75146-0.98227i,-0.98951+0.010289i,-0.23688+0.63906i,0.35927+0.45215i,0.17651-0.81991i,-0.6014-0.24025i,0.28022+0.35696i,0.6694+0.66613i,-0.78288-0.78037i,0.24405+0.24657i,-0.063951-0.80844i,-0.88357-0.49055i,0.2546-0.65962i,0.9224-0.94703i,-0.5002+0.75163i,0.033452+0.0011357i,0.39217+0.34635i,-0.56537+0.42454i,0.77938+0.17067i,-0.24581+0.87998i,0.065383+0.73271i,-0.34848-0.29013i,0.072212-0.42811i,-0.099277+0.56608i,0.60228+0.20472i,0.70179+0.38136i,-0.28842-0.066183i,-0.91376-0.14516i,-0.23648+0.60212i,-0.13734+0.20644i,-0.13808-0.108i,0.60103+0.84688i,0.45428-0.24896i,0.66753-0.6712i,-0.53742-0.94355i,0.037175+0.7524i,0.88611+0.49284i,0.73508+0.41821i,-0.78369+0.91414i,-0.98425-0.25568i,-0.97339-0.4286i,-0.47975-0.42046i,0.075697+0.81353i,-0.35348-0.49817i,-0.91645-0.45926i,-0.48876+0.56851i,0.57409+0.94967i,0.95053+0.48527i,0.48389-0.81794i,-0.32316-0.98605i,0.56391-0.97611i,-0.53122+0.7479i,-0.95287-0.74021i,0.50206+0.0017528i,-0.52725+0.6438i,-0.21095-0.53385i,-0.38366+0.28389i,0.076194-0.80826i,-0.84205+0.25103i,0.0045429-0.31251i,0.14464-0.1827i,-0.59849-0.62971i,0.77523-0.45656i,-0.49736-0.91102i,0.52851+0.74947i,-0.53114+0.49022i,-0.70733-0.57146i,3
804,0.75766-0.76265i,-0.65689-0.35658i,-0.87293-0.7896i,-0.85492+0.65753i,-0.35456-0.14386i,-0.78724-0.29568i,-0.86215+0.2219i,0.15605-0.71913i,0.2934-0.35835i,-0.2161-0.27859i,-0.28765+0.72503i,0.22214+0.35867i,-0.21667+0.28213i,0.21857+0.79364i,-0.72206-0.14801i,-0.86371-0.29311i,-0.35341+0.21909i,0.73043+0.28571i,0.86888-0.21786i,-0.66143+0.72379i,-0.87188+0.35886i,0.15624+0.2815i,-0.72405-0.72855i,0.14836-0.36076i,-0.21221+0.22552i,-0.29152+0.28809i,-0.28403+0.28482i,0.72638+0.28381i,0.35492+0.79112i,-0.72592-0.15138i,-0.3565+0.71999i,-0.28331+0.86065i,0.21941-0.159i,-0.21853-0.80045i,0.21757-0.86214i,-0.21431-0.85912i,0.21622+0.15504i,-0.21765+0.29054i,0.72059-0.22378i,-0.65118+0.72097i,0.65013+0.35704i,-0.64826-0.7318i,-0.86619-0.35779i,-0.86048+0.22322i,-0.85981+0.29016i,-0.85839-0.72518i,0.65745+0.65466i,-0.14178-0.14158i,-0.79813+0.72135i,0.6581+0.86774i,-0.64888+0.35181i,-0.87087-0.73217i,-0.86311-0.86555i,0.66-0.35074i,0.86589-0.27915i,0.8597+0.22166i,0.85861-0.21529i,-0.15448-0.29342i,0.71851+0.21871i,-0.65676+0.79681i,0.14772-0.65839i,0.80229+0.65201i,-0.65756-0.65269i,0.14525+0.65207i,-0.21234+0.36587i,-0.79853-0.72813i,-0.86212-0.86267i,-0.35048+0.65981i,0.22446+0.36141i,0.79816+0.7906i,-0.14968+0.35684i,0.21461-0.72883i,0.79412+0.65382i,-0.65507-0.14572i,0.64849+0.71696i,0.86839+0.36117i,-0.15606+0.78684i,0.71755+0.36096i,0.86674+0.2848i,0.35549-0.22222i,0.28314-0.2921i,-0.7257+0.72815i,0.65351+0.35914i,-0.14284+0.28186i,-0.79853-0.21798i,0.65939+0.72055i,0.87094+0.35358i,0.8578-0.22467i,0.85832+0.72264i,0.8615+0.86626i,-0.65726-0.65939i,0.13866+0.14232i,-0.7221-0.7195i,0.65349+0.14609i,-0.64625+0.79726i,-0.87312-0.15275i,0.6605-0.29069i,0.86879+0.72629i,0.35369-0.14677i,-0.22057+0.71636i,2
805,-0.56501+0.56507i,0.48785-0.48843i,0.64785+0.48148i,-0.49272-0.48267i,0.4851+0.48425i,0.64719-0.48379i,0.63801-0.65457i,-0.49468-0.63892i,0.48091+0.49084i,0.65159+0.64443i,-0.48922-0.48823i,0.48383-0.64556i,0.6497-0.63925i,0.64194-0.64065i,-0.49144+0.49325i,0.48199+0.64928i,-0.48072-0.49345i,0.4857+0.48516i,0.64364-0.48288i,-0.49075+0.48472i,0.48519-0.48499i,0.65073-0.65075i,-0.49066-0.64122i,0.48533+0.48997i,0.64346+0.64782i,0.63653+0.6417i,0.64195+0.64152i,0.63584-0.48846i,-0.49305+0.47961i,-0.64814+0.64235i,-0.64005+0.6388i,0.48646-0.48799i,0.64633+0.48632i,-0.49391-0.482i,0.48687+0.48516i,-0.49236-0.483i,0.48492+0.48633i,0.64848+0.64879i,0.63833-0.49405i,-0.48952+0.48531i,0.48475+0.6467i,0.65251-0.49136i,-0.49356+0.48204i,-0.65264-0.48137i,0.48886+0.48417i,0.65179+0.64834i,-0.4909+0.64003i,0.48655-0.49314i,-0.48101-0.64973i,0.48266-0.63551i,0.64752+0.49426i,-0.49065-0.48563i,-0.64652-0.64833i,-0.64082+0.49156i,-0.63896+0.64556i,-0.64111-0.49313i,0.49256-0.64782i,0.64885+0.49159i,0.64032+0.64719i,0.63766+0.64134i,-0.49383-0.49382i,0.4822+0.48911i,0.6428+0.64919i,0.64275+0.63974i,-0.48937+0.64098i,0.47858+0.63923i,-0.48481-0.49423i,-0.64603+0.48666i,-0.63751-0.48096i,0.48537-0.64774i,-0.48516-0.63927i,0.48173-0.63996i,-0.48246-0.6379i,-0.64684-0.64241i,-0.63988+0.48969i,-0.63809+0.64392i,-0.64919-0.49231i,0.49376-0.64936i,0.64953+0.49535i,-0.49097+0.646i,-0.65019-0.49545i,0.49371+0.48457i,-0.48525+0.64751i,0.48456-0.49296i,-0.48602+0.48138i,-0.64114+0.64904i,0.48772-0.49559i,0.64736+0.4817i,0.63903-0.47976i,0.64264-0.64862i,-0.49332-0.63737i,-0.64783+0.49113i,-0.63592+0.64761i,0.49381-0.49311i,-0.48105-0.6487i,0.48704-0.64123i,0.64527+0.48824i,0.64037-0.48226i,-0.48833+0.48468i,-0.64543+0.64699i,1
806,0.3707-0.86226i,0.9127-0.24097i,-0.25344+0.60803i,0.066024+0.70441i,0.38924+0.70214i,-0.56859-0.78576i,-0.94986+0.49491i,0.0074958-0.77424i,0.14735+0.74252i,0.63328+0.24933i,0.704+0.87677i,-0.29408-0.25253i,0.81244+0.31377i,-0.49502+0.42328i,0.03092-0.074828i,0.88647-0.39091i,-0.74752+0.8135i,-0.25141-0.0028401i,-0.87352+0.59424i,-0.24353+0.45291i,-0.8757+0.66302i,-0.73739-0.039823i,-0.94417+0.10276i,0.5025+0.13773i,0.45944-0.84889i,0.90946+0.25584i,0.979+0.6732i,-0.74616-0.28811i,0.74111+0.31582i,-0.49322-0.31579i,-0.46279+0.31492i,-0.41595+0.17562i,0.81522-0.60171i,-0.49992-0.20626i,0.52359-0.13381i,-0.032365+0.10933i,-0.63378-0.60058i,0.039824+0.039432i,0.63912-0.099287i,0.45154+0.84627i,0.666+0.97813i,0.20807+0.48114i,-0.11054-0.82021i,0.84836+0.0031129i,-0.49984-0.84246i,0.03247+0.0051869i,-0.10264+0.88486i,-0.63804-0.50101i,-0.45584-0.45838i,-0.90598+0.073355i,0.25377-0.10319i,0.42612-0.38478i,-0.31937+0.81768i,-0.42269+0.98589i,-0.91141-0.25415i,-0.73188+0.31328i,-0.4489+0.91728i,-0.66328+0.48828i,-0.45262-0.57215i,-0.17068+0.039308i,-0.13519-0.84961i,-0.88012-0.73801i,0.2532+0.53644i,0.4265+0.21156i,0.16475-0.85016i,0.38537+0.74334i,-0.073692+0.7415i,0.59978+0.69179i,0.70107+0.20574i,-0.29112+0.87965i,0.56009-0.0054383i,-0.77669-0.14664i,0.24596-0.38817i,0.92093-0.66738i,0.48708+0.5354i,0.16575-0.28106i,-0.11263-0.91717i,-0.88201-0.48609i,-0.23759+0.32789i,-0.3828+0.91395i,-0.41906+0.48661i,-0.91574+0.65833i,-0.48691+0.20495i,0.81856+0.62872i,-0.5015+0.94468i,-0.21023+0.97581i,-0.63099-0.50392i,-0.70388-0.21756i,-0.69532-0.38478i,-0.4583+0.56676i,0.077606-0.52977i,-0.844-0.21166i,0.74245+0.35756i,0.49326-0.81154i,-0.3252+0.49533i,-0.67267-0.27931i,-0.94573+0.31624i,-0.98415+0.42356i,0.0089421-0.073838i,0.63797-0.88676i,3
807,0.56598-0.56837i,0.64322-0.64197i,0.63657+0.49001i,0.63966-0.49022i,0.64187+0.48389i,0.63919+0.64664i,-0.49396-0.49509i,-0.64633+0.48315i,-0.63892-0.4834i,-0.64265-0.64922i,-0.64113-0.63814i,-0.63999-0.64095i,-0.63957+0.49611i,0.4912-0.48408i,-0.48345-0.65026i,-0.64997-0.64446i,-0.6404+0.49544i,-0.63821+0.64631i,-0.64127+0.63887i,0.49262-0.48829i,-0.48116+0.48455i,-0.64611-0.48267i,0.49475-0.64579i,-0.4852-0.63996i,0.48471-0.63855i,-0.48496-0.642i,-0.64952-0.63752i,0.49473+0.49048i,-0.48488+0.64505i,-0.64564-0.49068i,-0.63746+0.4807i,-0.63963+0.64865i,0.49316-0.49619i,-0.48336+0.48543i,-0.64475+0.64519i,0.49064+0.63426i,-0.47981+0.64064i,-0.64673+0.63945i,0.49728-0.48923i,0.65135+0.48191i,-0.48965+0.64662i,0.48249-0.49093i,-0.48384+0.48494i,-0.64948-0.48342i,-0.63727+0.47951i,0.48874+0.64601i,-0.48582+0.63909i,-0.64739-0.49063i,-0.6393-0.64779i,-0.63787-0.64499i,-0.63687+0.49365i,-0.64013+0.64707i,-0.6403-0.49137i,-0.64113-0.64872i,0.48749+0.49139i,-0.48123-0.48788i,0.48602-0.6455i,-0.48233+0.49323i,-0.64794+0.6475i,0.49416+0.63966i,-0.48309+0.64068i,0.48039+0.63782i,0.65049+0.64013i,-0.4927+0.63751i,-0.64442+0.6395i,-0.64279+0.63961i,0.49038-0.49347i,0.649+0.48736i,0.6368+0.64669i,-0.49036+0.63763i,-0.64663+0.63885i,0.49076-0.49446i,0.64926+0.48353i,0.63683+0.65132i,0.6402-0.49191i,-0.4911+0.48039i,-0.64953+0.64827i,0.49385-0.49188i,-0.48067+0.48567i,0.48249-0.4855i,0.646+0.48191i,0.64009+0.64327i,0.63909-0.49256i,-0.49487-0.64561i,0.48194+0.49194i,-0.48312-0.48294i,-0.6485-0.64641i,0.49214+0.49226i,0.64945+0.64957i,0.64011+0.63894i,0.64069-0.49352i,0.64028+0.48904i,-0.4915-0.48166i,0.47958+0.48762i,0.64894+0.64601i,-0.49029+0.63642i,-0.64682-0.49157i,0.49262-0.64839i,0.64806-0.63478i,-0.48977-0.63854i,1
808,-0.36903+0.12284i,-0.17606-0.59949i,0.59852-0.94728i,-0.038022+0.25812i,-0.63692-0.31731i,-0.69955+0.31864i,0.039369+0.91845i,-0.10158-0.0081552i,-0.14225-0.14825i,-0.63215-0.1418i,0.5316+0.35064i,-0.52693-0.076196i,0.034523+0.84576i,0.14625+0.73974i,-0.35673+0.19984i,-0.42758-0.10934i,0.32579-0.1348i,0.17816-0.88108i,-0.59381+0.0084186i,0.52912-0.83995i,0.95374+0.0026497i,-0.0067104+0.63905i,-0.88758-0.77661i,-0.24469-0.98391i,-0.62949+0.75121i,0.78491-0.49038i,0.0022216+0.27846i,-0.88906+0.91979i,-0.48646-0.75136i,-0.66056+0.49446i,-0.69974+0.7054i,0.53239-0.78348i,0.95762+0.24602i,-0.74513-0.80768i,0.24317+0.49527i,0.92074-0.77266i,-0.25035+0.73884i,-0.67673-0.49466i,0.039767+0.27948i,0.39335-0.31532i,-0.072436+0.31532i,0.10124+0.91721i,0.38668-0.25236i,0.91401+0.80693i,-0.25381-0.49323i,0.06904-0.46138i,0.63577+0.56658i,-0.53266-0.28391i,-0.46057-0.42314i,0.32116+0.072819i,-0.56268+0.88159i,-0.95302+0.24256i,0.50487+0.38416i,-0.7737-0.57012i,-0.98533+0.77442i,-0.2372+0.24975i,0.11106-0.60519i,0.88212-0.69803i,0.2431-0.20382i,-0.11115+0.11064i,0.10557+0.63259i,0.88804-0.036686i,-0.74587+0.099271i,0.2503+0.88474i,-0.55747+0.24041i,0.28395+0.1342i,0.67279-0.11032i,-0.78229-0.38628i,0.74035-0.66386i,0.24857+0.044468i,-0.35874+0.63768i,0.80885+0.70364i,0.7407-0.54068i,0.69208+0.52981i,-0.78247+0.21598i,0.7461+0.87291i,0.24759-0.74628i,0.63058-0.49357i,-0.78402+0.079734i,-0.98631-0.10318i,0.25639-0.6378i,0.42721-0.2065i,-0.073513+0.60061i,-0.13989-0.53238i,-0.63525-0.46034i,0.29043+0.57031i,0.9182+0.4606i,-0.50327+0.90989i,0.029574-0.25104i,0.64029+0.065878i,-0.77915+0.39051i,0.0026893-0.31974i,0.14706-0.1772i,-0.60463+0.11441i,0.53186+0.87882i,-0.53347-0.0054748i,-0.70635+0.349i,-0.44811-0.31485i,-0.16846+0.80885i,-0.13599-0.24749i,3
809,-0.76039+0.25225i,-0.8677+0.28686i,0.663-0.22129i,0.86921-0.29156i,-0.15426-0.7894i,0.71974-0.86506i,-0.65593-0.85878i,-0.8658+0.1565i,-0.35236+0.2913i,0.73104-0.22415i,0.36043+0.21574i,-0.72621+0.29006i,-0.8669+0.79212i,-0.34982-0.6561i,0.7304-0.86832i,-0.64831-0.85955i,0.1423+0.15536i,0.80098-0.72259i,-0.14768-0.86413i,-0.29334-0.35074i,-0.78877+0.72918i,0.65525-0.14926i,0.86766+0.21167i,-0.15277-0.21336i,-0.79567+0.72122i,0.65345+0.86774i,-0.14507+0.35086i,-0.296+0.28122i,0.22058+0.79688i,-0.21548-0.15191i,-0.79442-0.79798i,0.15102-0.35548i,0.29503+0.72776i,0.79545-0.14887i,-0.15198-0.29451i,-0.7984+0.72512i,0.15437+0.86012i,0.80196-0.15425i,-0.15481+0.72394i,-0.29646+0.35689i,-0.78992+0.28725i,-0.86333-0.72637i,0.65864+0.65393i,0.86997+0.36269i,0.35281-0.72711i,-0.7315-0.35664i,0.65508+0.22907i,-0.64842+0.29422i,-0.36429+0.78785i,0.22155-0.15218i,-0.21844-0.29444i,-0.29261+0.22158i,-0.78958+0.28788i,0.15393-0.22425i,-0.71929+0.21616i,0.65165-0.72273i,0.36304-0.35809i,-0.22488+0.73166i,0.21388+0.86517i,0.79876+0.35345i,-0.65358+0.78728i,0.64812-0.14863i,-0.14246+0.71736i,-0.2908-0.65416i,0.72569+0.14277i,0.86483-0.21351i,-0.66121+0.21907i,0.64572-0.72426i,-0.14463-0.86482i,0.72144+0.66089i,0.86043+0.86772i,-0.15618+0.85716i,-0.80144+0.35006i,-0.35557+0.78718i,-0.78984-0.65206i,-0.86287+0.14507i,-0.35408-0.71959i,-0.79248+0.141i,0.14729-0.71689i,0.80151-0.863i,0.35562-0.8565i,-0.22357-0.3497i,0.72486-0.78951i,-0.64986+0.14939i,0.6488-0.71881i,-0.14761+0.1462i,-0.29436+0.79428i,-0.28509+0.86033i,0.72922-0.15669i,0.86432-0.29284i,0.35456-0.79344i,-0.22194-0.85925i,-0.79629+0.65753i,-0.35465-0.14798i,-0.78537+0.21132i,-0.86198+0.28803i,0.66075+0.79292i,-0.64864-0.15419i,-0.3604-0.79799i,-0.78406+0.65342i,2
810,0.56161+0.56777i,-0.48727+0.64857i,-0.64984+0.64096i,-0.63731-0.4935i,-0.63693+0.48392i,0.49212+0.64382i,0.64494-0.4878i,-0.4902+0.48077i,-0.64968+0.64709i,0.49396-0.489i,0.64239+0.48682i,0.63617-0.4863i,0.63836+0.48382i,0.64089+0.64645i,-0.49413+0.63316i,-0.64732+0.64053i,0.48881-0.4934i,-0.49085-0.64584i,0.48151-0.63959i,-0.48142+0.49176i,0.48728+0.64636i,-0.48799-0.49243i,-0.64661-0.65075i,-0.64049-0.64037i,-0.64395-0.63919i,-0.64229-0.64206i,-0.64125+0.49175i,-0.63925+0.64765i,-0.64199-0.49255i,0.4892+0.48842i,-0.486+0.65045i,0.48465-0.49019i,0.64369+0.48327i,0.63735+0.64418i,-0.49446-0.49254i,-0.6505-0.64196i,-0.64038-0.64024i,0.49101-0.64207i,-0.48405+0.49627i,-0.65226-0.48509i,0.49065-0.64777i,0.64604-0.64142i,-0.4859-0.63852i,0.4828-0.64048i,-0.48682+0.49072i,-0.64768+0.64689i,-0.63823+0.6419i,-0.64234-0.49007i,0.48888+0.48299i,0.65091-0.48148i,-0.48981+0.48231i,0.48336+0.65139i,-0.48106+0.64137i,0.48346-0.48847i,-0.48605+0.48526i,0.48373-0.48179i,-0.48561+0.48851i,-0.64784-0.48362i,0.49236+0.4841i,0.64884+0.64678i,0.64278+0.63872i,0.63876-0.48982i,0.63968+0.48093i,0.642-0.48516i,0.63255-0.64667i,0.63945+0.49505i,0.64159-0.47932i,0.63812+0.48253i,0.63621+0.64154i,-0.49219-0.49361i,0.4837-0.64751i,0.64734+0.49519i,0.63941-0.48513i,-0.49196+0.48307i,-0.64897+0.64549i,-0.63915+0.64173i,-0.63812+0.63955i,0.49157+0.64228i,0.64398+0.63767i,-0.49473+0.64091i,0.47467+0.64419i,-0.48279+0.64116i,-0.64729+0.63976i,0.48981+0.63996i,0.6511+0.63792i,0.64339+0.64019i,-0.49097-0.49215i,0.48329-0.64282i,-0.48464+0.48904i,0.48733-0.48484i,0.64592-0.64878i,0.63514+0.49186i,0.6405-0.48566i,0.63915+0.48111i,-0.49134+0.64642i,-0.64538-0.49316i,0.49295+0.48127i,-0.48493+0.6489i,-0.64808+0.64112i,0.49514+0.63971i,1
811,0.56442+0.56695i,0.64727-0.48844i,-0.49178-0.6505i,-0.64671+0.49205i,0.49215-0.48678i,-0.4831+0.48493i,-0.64477+0.64633i,-0.63867+0.6393i,-0.63991+0.64086i,0.4932-0.48965i,0.65+0.48273i,0.64147-0.48808i,0.64455+0.48427i,0.64451+0.64905i,-0.49143-0.48531i,0.48089+0.48266i,0.64676+0.64599i,-0.49213-0.49444i,-0.6479+0.49032i,-0.64019-0.48496i,0.49308+0.48651i,-0.48229+0.64676i,0.48213+0.63938i,0.64517+0.63918i,-0.49264+0.64128i,-0.64892+0.63827i,-0.63597+0.63801i,0.4849+0.63975i,0.64872+0.63788i,-0.48813+0.64049i,0.48115-0.49129i,-0.48343+0.48716i,-0.64638-0.4846i,-0.63987+0.48377i,-0.64421-0.48258i,-0.63831+0.48496i,-0.63833-0.48207i,0.49022-0.64509i,0.64784+0.48849i,-0.4891+0.64872i,-0.64553+0.63504i,-0.63514+0.64041i,0.49204-0.49494i,0.64687+0.48238i,-0.49722+0.64566i,0.48502+0.64339i,-0.48152+0.63702i,-0.64396+0.63651i,0.49018+0.63745i,0.6458-0.49465i,0.63531-0.65053i,-0.49018-0.64052i,-0.64639-0.63929i,0.49333+0.49345i,0.64649+0.64528i,0.63902+0.63806i,0.64046-0.48943i,-0.49201-0.64443i,-0.64673+0.49291i,-0.63689-0.48355i,-0.64235+0.48372i,0.48939-0.48089i,-0.48465-0.64637i,0.48681+0.49598i,0.64809+0.64848i,-0.49692-0.49144i,0.4863+0.48582i,-0.48626-0.48856i,0.48091+0.48141i,0.64863+0.64756i,-0.49164-0.49296i,0.48692-0.6452i,0.64591+0.49445i,-0.49236-0.48917i,0.48985-0.64757i,0.6463+0.4937i,0.63802+0.64419i,-0.4922+0.64348i,0.48456-0.49001i,-0.48281+0.4886i,-0.64592-0.48276i,-0.63628+0.48204i,-0.64095-0.4871i,0.49368-0.64725i,-0.48562+0.4906i,-0.64809-0.4836i,-0.63788-0.64834i,0.49666+0.49159i,0.64701-0.48365i,0.63843+0.48232i,0.64111+0.6502i,-0.4909-0.49067i,0.48413+0.48605i,0.64662+0.64653i,-0.49338+0.64021i,0.48634+0.63903i,-0.48192-0.49176i,0.48769+0.48178i,-0.48447-0.48338i,-0.64909-0.6519i,1
812,-0.25553+0.25084i,-0.79411+0.28794i,0.65876+0.79275i,0.36153+0.35511i,-0.72659+0.27988i,0.65092+0.28626i,0.8707+0.2905i,0.35714+0.79145i,0.28465+0.86165i,0.79636-0.15291i,0.86357-0.29075i,-0.6601-0.28601i,-0.86902+0.72622i,0.66177+0.8634i,0.867-0.15479i,-0.15372+0.72031i,-0.79583-0.14481i,0.65681+0.21462i,-0.1447-0.72152i,-0.29387-0.86407i,0.72352+0.66581i,-0.65352+0.35966i,0.14512-0.22422i,-0.71737-0.79564i,-0.8657-0.86161i,-0.34945-0.35483i,0.22243+0.22255i,-0.21832+0.28693i,0.71998+0.79533i,-0.65259+0.35649i,-0.36391+0.28547i,-0.28353-0.21816i,0.72304+0.21685i,0.35944+0.80107i,0.79159-0.65657i,0.86171+0.65101i,0.35179+0.36226i,0.78942+0.27866i,-0.14979+0.79113i,-0.8004-0.65416i,0.6578+0.64715i,-0.1441+0.35878i,0.71808-0.73415i,-0.65012+0.14828i,-0.87136+0.29173i,-0.85596-0.21787i,-0.86004+0.2164i,-0.35273+0.289i,0.2267+0.79192i,0.79433-0.65575i,-0.65472-0.36432i,-0.36067-0.28554i,0.22279-0.79043i,-0.21929-0.86338i,0.21885-0.35232i,-0.21572+0.22311i,0.214-0.21628i,0.79712+0.72599i,0.86137+0.86315i,0.35288+0.35136i,0.28469+0.27882i,0.79464-0.2236i,0.35657-0.79837i,0.7892+0.65506i,0.35455+0.36338i,0.28309-0.22539i,0.28661+0.72442i,0.28932-0.14439i,-0.22059+0.72013i,-0.2901+0.3628i,-0.79285-0.73036i,0.15249-0.86351i,0.7949-0.85718i,-0.65374+0.15276i,0.14142+0.2902i,-0.21177+0.79348i,-0.29237-0.15032i,-0.2908-0.80015i,0.219+0.14571i,-0.21604-0.71789i,-0.79485+0.1447i,-0.8648-0.71584i,-0.35285+0.14759i,0.22045+0.7985i,-0.21608+0.86708i,-0.28524-0.15576i,0.22041-0.79724i,0.28964+0.65569i,0.7926+0.36245i,0.35566+0.28399i,-0.73158-0.21935i,-0.35992-0.79488i,0.7306+0.65657i,-0.14807-0.6451i,0.21201-0.36395i,-0.21687+0.22533i,0.72714+0.28878i,0.35943-0.21895i,-0.72596+0.21225i,-0.3564+0.79333i,2
